epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6763,0,72.8384,0,0,0,0,0,0,0,0,0.000157809,0.000157809,0.000157809
2,41.8216,0,59.8101,0,0,0,0,0,0,0,0,0.000253813,0.000253813,0.000253813
3,62.5183,0,48.6144,0,0,0,0,0,0,0.00059,0,0.000286986,0.000286986,0.000286986
4,82.5651,0,39.936,0,0,0,0,0,0,0.0002,0,0.000193256,0.000193256,0.000193256
5,102.723,0,34.7667,0,0,0,0,0,0,40.7524,0,9.9008e-05,9.9008e-05,9.9008e-05
