epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80162,3.52317,5.40545,2.6338,0.00333,1,0.0035,0.00105,1.69919,5.17594,2.50875,0,0,0
2,8.03125,3.09161,5.1564,2.82377,0.00333,1,0.0034,0.00102,1.66909,5.19622,2.51407,1.34e-05,1.34e-05,1.34e-05
3,8.24634,5.25006,9.10204,3.70547,0,0,0,0,1.70251,5.11191,2.51688,1.36e-05,1.36e-05,1.36e-05
